Country,GDP in 2021($ billion),Financial commitments($ billion),Humanitarian commitments($ billion),Military commitments($ billion),Total bilateral commitments($ billion),Share in EU commitments($ billion),Specific weapons and equipment($ billion),Financial commitments with military purpose($ billion),Total bilateral commitments of short term($ billion),EU_member_0,EU_member_1
Japan,0.21133031354713952,0.07370253311768551,0.6737490563786024,0.0014992142573436718,0.09820258339286153,0.0,0.008572050248674598,0.0045370716516998245,0.006014161096793637,True,False
Latvia,0.0009653073349683209,0.0005312222646912108,0.0025013319168134362,0.008710815855596042,0.005326077727203702,0.010155359151964895,0.01701885486642375,0.06823151258856668,0.011408110203377621,False,True
Lithuania,0.002106696234297175,0.0005377005849923231,0.022521322549161154,0.01910570470754831,0.011755902303869185,0.01596351198844195,0.0025524878037197574,0.0,0.0018443463224415396,False,True
Luxembourg,0.002924844537701875,1.6843632782892048e-05,0.005953045195204253,0.0025524878037197574,0.0016079486577161661,0.013825541626681656,0.0,0.0,2.9412820027670176e-05,False,True
Malta,0.0,0.0,0.0006795039180630164,0.0,5.683426892939089e-07,0.004169042202776712,0.09964295681005751,0.10208411216324605,0.08829412354366264,False,True
Netherlands,0.04272876766341049,0.013670558271591977,0.23484473804029513,0.10276518296578997,0.07817145357899014,0.2083095781050259,0.00014374345933997615,0.010082095369823452,0.0006705323469491439,False,True
New Zealand,0.009980447736570856,2.2062616957671295e-05,0.0085149326145394,0.00045210272505914653,0.0005683703617617933,0.0,0.08586014747785242,0.026569173886946077,0.050251334172946194,True,False
Norway,0.019950917046292465,0.04395171831592884,0.11475043605957805,0.08667276138895125,0.09422200608918113,0.0,0.0693828034607215,0.0,0.06145403948790084,True,False
Poland,0.02841826955581767,0.012257930720228365,0.12438102332028116,0.0693828034607215,0.05440076296827697,0.1739238882572673,0.0018229469451016282,0.0,0.0011443048323046083,False,True
Portugal,0.010142586270515083,0.0,0.0005619898934470533,0.0018229469451016282,0.000987962906474252,0.07158637400428301,7.727908543008617e-05,0.0,0.012906512459901608,False,True
South Korea,0.07698573484232221,0.0084362357876739,0.08333719559362054,7.727908543008617e-05,0.011405061371356206,0.0,6.93828034607215e-05,0.000868116192457032,0.0017916585087340206,True,False
Romania,0.011448483313271748,0.0,0.04002979605001485,9.593399761686842e-05,0.0015612861466750556,0.07311858606412228,0.015546373495432331,0.0,0.009785097832333698,False,True
Slovakia,0.00425634229414284,6.478320301112327e-05,0.003758764886141031,0.015546373495432331,0.008640607235313996,0.03124999997676123,0.0014966234867977964,0.0,0.0011243777680184307,False,True
Slovenia,0.0019051026550739062,0.0,0.004733317098308046,0.0014966234867977964,0.0009703146726258622,0.016284207497556373,0.007535098973353827,0.0,0.013216276695447763,False,True
Spain,0.060521666797196366,0.006733566120976153,0.027778484390727266,0.007535098973353827,0.011679401414037668,0.3933865450234952,0.05290875619527864,0.26991879423048026,0.046551942416143854,False,True
Sweden,0.02653907115147193,0.003984902928175017,0.20917275905737212,0.0611641791147875,0.045144207366596086,0.14598774226421457,0.0,0.0,0.010984332979122938,False,True
Switzerland,0.03362029536043494,0.0013348669921208543,0.7403350908361491,0.0,0.029652224748216743,0.0,0.001448313675376034,0.0,0.0009562780053180754,True,False
Turkey,0.03440985889933838,0.0,0.001535512952525836,0.001448313675376034,0.0008214385572387848,0.0,0.21263485485347197,0.022119281568749084,0.19919298912737154,True,False
United Kingdom,0.13366175676689404,0.07873799206538666,0.19207981431173743,0.21331136952354637,0.1998791435738449,0.0,1.0,0.0,1.0,True,False
United States,1.0000000000000002,0.3188973424310847,0.8293357676536681,1.0,0.8856159560696724,0.0,0.0,0.0,3.0289807719953128e-05,True,False
China,0.7604478573514987,0.0,0.0006997643545814698,0.0,1.345039329265354e-06,0.0,0.0,0.0,0.0009292804391287435,True,False
Taiwan,0.03251975164906194,0.0,0.021468519467812468,0.0,0.0007975283939250044,0.0,0.0,0.0,2.8771090016416263e-05,True,False
India,0.13558972691671387,0.0,0.0006646784760763101,0.0,0.0,0.0,0.0,0.0,0.0,True,False
